Category,Quantity,References,Value,Stock Code,Unit Cost
Modules,4,M1-M4,MOTOR,,
Capacitors,1,C1,4.7nF,,
Capacitors,2,C2-C3,4.7uF,,
Capacitors,7,"C4,C12,C15,C17,C19,C21,C23",10uF,,
Capacitors,10,"C5-C8,C10,C16,C18,C20,C22,C24",100nF,,
Capacitors,2,"C9,C11",1uF,,
Capacitors,2,C13-C14,22pF,,
Resistors,18,"R1-R2,R4,R9-R10,R13,R22-R33",10k,,
Resistors,2,"R3,R17",1M,,
Resistors,5,"R5-R7,R11,R18",1k,,
Resistors,3,"R8,R14-R15",22R,,
Resistors,4,"R12,R19-R21",0.1R Sense,,
Resistors,1,R16,4.7k,,
Integrated Circuits,1,U1,STM32F103C8T6,,
Integrated Circuits,1,U2,MCP73831,MCP73831T-2ACI/OT,
Integrated Circuits,1,U3,NCV8161,NCV8161,
Integrated Circuits,1,U4,NRF24L01,NRF24L01,
Integrated Circuits,1,U5,USB-MICRO,MX-105017-0001,
Integrated Circuits,1,U6,USBLC6-2,USBLC6-2SC6,
Transistors,4,Q1-Q4,IRF7324,,
Diodes,9,"D1,D3-D4,D6-D7,D9-D10,D12-D13",LED,,
Diodes,4,"D2,D5,D8,D11",DIODE,,
Miscellaneous,1,J1,J 1X2,,
Miscellaneous,3,"J2-J3,J5",J 1X4,,
Miscellaneous,1,J4,J 2X4,,
Miscellaneous,1,L1,INDUCTOR,,
Miscellaneous,1,L2,BEAD,,
Miscellaneous,7,"TP1-TP6,TP8",TESTPOINT,,
Miscellaneous,1,TP7,CLK,,
Miscellaneous,1,X1,16MHz,,
